DAT,Variety,Treatment,Reply,Main shoot height (cm),Flowering (trusses number),Fruit set (trusses number),Trusses maturing (number),Species,Phenological phase,GDD cumulative,ABA (ng/mg),Antioxidant capacity (μmol Fe II/g FW),Ripe fruits (number),Average air temperature (°C),Average air humidity (%RH),Average daily solar radiation (MJ m-2 day-1),Total chlorophyll (μg/g FW),Fruits EC (mS/cm),Electrolytic leakage (μS/cm),Flavonoids (mg/g FW),Fv/Fm,GA4 (ng/mg),IAA (ng/mg),JA (ng/mg),Lutein (μg/g FW),Fruits lycopene (μg/g DW),Melatonin (ng/mg),Metatopolin (ng/mg),Main shoot leaves (number),Main shoot nodes (number),Osmolytes (osm/kg),Phenols (mg/g FW),Relative water content (%),SA (ng/mg),Stomatal conductance (μmol/sec),Violaxanthin (μg/g FW),Z (ng/mg),Acidity (g citric acid/100 g),Fruits β carotene (μg/g DW),Fruits dry weight (g),Fruits dry weight (%),Fruits firmness (kg/cm2),Lateral shoots (number),Leaves surface (cm²),Fruits pH,Fruits soluble solids (°brix),Stem diameter (cm),Total fresh weight (g),Total dry weight (g),Dry matter (%),Na/K ratio leaves,Na/Ca ratio leaves,Na/K ratio roots,Na/Ca ratio roots,pH,Electrical Conductivity (mS/cm),soluble solids (°brix),dry weight (g),dry weight% (%),firmness (kg/cm2),fresh weight 10 fruits (g),Lycopene (micro  g/g DW),beta-carotene (micro  g/g DW),Ripening (trusses number),Cumulative floral truss fruits (number),Cumulative floral truss length (cm),Days_to_next_phase_from_prev_start,Days_to_next_phase_from_time_0
15.0,WR14,S2,4,36.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,12.666666666666666,12.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR14,S2,5,37.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,12.666666666666666,12.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR14,S2,6,34.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,12.666666666666666,12.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,C,1,32.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.333333333333334,10.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,C,2,32.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.333333333333334,10.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,C,3,28.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.333333333333334,10.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,C,4,30.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.333333333333334,10.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,C,5,32.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.333333333333334,10.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,C,6,31.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.333333333333334,10.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S1,1,34.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.833333333333334,10.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S1,2,30.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.833333333333334,10.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S1,3,30.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.833333333333334,10.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S1,4,30.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.833333333333334,10.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S1,5,26.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.833333333333334,10.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S1,6,32.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,10.833333333333334,10.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S2,1,23.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S2,2,24.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S2,3,22.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S2,4,35.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S2,5,27.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
15.0,WR2,S2,6,32.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,279.3,,,,14.3,80.5,2.28,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
